devid,pid,time,diff,data,rawdata,validity
07,3245,16:58:37:59,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000cadf4f4f4f4f4f4f4f4fe1c,valid
0a,808,16:58:37:62,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a000328f4f4f4f4f4f4f4f4fe1e,valid
03,164558,16:58:37:68,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282cef4f4f4f4f4f4f4f4fe60,valid
08,3318,16:58:37:76,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000cf6f4f4f4f4f4f4f4f4fe32,valid
01,164779,16:58:37:85,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283abf4f4f4f4f4f4f4f4fe2f,valid
09,3322,16:58:37:97,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000cfaf4f4f4f4f4f4f4f4fee6,valid
02,165041,16:58:38:37,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284b1f4f4f4f4f4f4f4f4fe81,valid
06,3195,16:58:38:85,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041de598f849b01ff06000c7bf4f4f4f4f4f4f4f4fe69,valid
0a,809,16:58:38:14,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a000329f4f4f4f4f4f4f4f4fe1d,valid
04,164891,16:58:38:19,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff0402841bf4f4f4f4f4f4f4f4febb,valid
03,164559,16:58:38:22,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282cff4f4f4f4f4f4f4f4fe5f,valid
07,3246,16:58:38:28,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000caef4f4f4f4f4f4f4f4fe1b,valid
05,165216,16:58:38:31,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff05028560f4f4f4f4f4f4f4f4fe07,valid
08,3319,16:58:38:36,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000cf7f4f4f4f4f4f4f4f4fe31,valid
01,164780,16:58:38:40,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283acf4f4f4f4f4f4f4f4fe2e,valid
09,3323,16:58:38:50,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000cfbf4f4f4f4f4f4f4f4fee5,valid
02,165042,16:58:38:54,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284b2f4f4f4f4f4f4f4f4fe80,valid
06,3196,16:58:38:58,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041de598f849b01ff06000c7cf4f4f4f4f4f4f4f4fe68,valid
04,164892,16:58:38:61,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff0402841cf4f4f4f4f4f4f4f4feba,valid
07,3247,16:58:38:64,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000caff4f4f4f4f4f4f4f4fe1a,valid
05,165217,16:58:38:69,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff05028561f4f4f4f4f4f4f4f4fe06,valid
0a,810,16:58:38:72,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a00032af4f4f4f4f4f4f4f4fe1c,valid
03,164560,16:58:38:77,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282d0f4f4f4f4f4f4f4f4fe5e,valid
08,3320,16:58:38:80,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000cf8f4f4f4f4f4f4f4f4fe30,valid
01,164781,16:58:38:93,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283adf4f4f4f4f4f4f4f4fe2d,valid
09,3324,16:58:39:43,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000cfcf4f4f4f4f4f4f4f4fee4,valid
02,165043,16:58:39:75,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284b3f4f4f4f4f4f4f4f4fe7f,valid
04,164893,16:58:39:12,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff0402841df4f4f4f4f4f4f4f4feb9,valid
05,165218,16:58:39:15,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff05028562f4f4f4f4f4f4f4f4fe05,valid
07,3248,16:58:39:19,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000cb0f4f4f4f4f4f4f4f4fe19,valid
0a,811,16:58:39:22,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a00032bf4f4f4f4f4f4f4f4fe1b,valid
03,164561,16:58:39:26,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282d1f4f4f4f4f4f4f4f4fe5d,valid
08,3321,16:58:39:35,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000cf9f4f4f4f4f4f4f4f4fe2f,valid
01,164782,16:58:39:45,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283aef4f4f4f4f4f4f4f4fe2c,valid
09,3325,16:58:39:57,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000cfdf4f4f4f4f4f4f4f4fee3,valid
02,165044,16:58:39:63,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284b4f4f4f4f4f4f4f4f4fe7d,valid
,0,16:58:39:69,0s,,5e7e001a90007d33a200410684669e5a01ff05028563f4f4f4f4f4f4f4f4fe,invalid
0a,812,16:58:39:73,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a00032cf4f4f4f4f4f4f4f4fe1a,valid
04,164894,16:58:39:79,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff0402841ef4f4f4f4f4f4f4f4feb8,valid
03,164562,16:58:39:82,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282d2f4f4f4f4f4f4f4f4fe5c,valid
07,3249,16:58:40:22,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000cb1f4f4f4f4f4f4f4f4fe18,valid
08,3322,16:58:40:26,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000cfaf4f4f4f4f4f4f4f4fe2e,valid
01,164783,16:58:40:29,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283aff4f4f4f4f4f4f4f4fe2b,valid
09,3326,16:58:40:31,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000cfef4f4f4f4f4f4f4f4fee2,valid
04,164895,16:58:40:33,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff0402841ff4f4f4f4f4f4f4f4feb7,valid
06,3199,16:58:40:36,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041de598f849b01ff06000c7ff4f4f4f4f4f4f4f4fe65,valid
02,165045,16:58:40:39,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284b5f4f4f4f4f4f4f4f4fe7d,valid
,0,16:58:40:43,0s,,5d7e001a90007d33a200410684669e5a01ff05028564f4f4f4f4f4f4f4f4fe,invalid
07,3250,16:58:40:45,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000cb2f4f4f4f4f4f4f4f4fe17,valid
0a,813,16:58:40:48,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a00032df4f4f4f4f4f4f4f4fe19,valid
03,164563,16:58:40:51,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282d3f4f4f4f4f4f4f4f4fe5b,valid
08,3323,16:58:40:55,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000cfbf4f4f4f4f4f4f4f4fe2d,valid
01,164784,16:58:40:58,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283b0f4f4f4f4f4f4f4f4fe2a,valid
06,3200,16:58:40:65,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041de598f849b01ff06000c80f4f4f4f4f4f4f4f4fe64,valid
02,165046,16:58:40:70,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284b6f4f4f4f4f4f4f4f4fe7c,valid
04,164896,16:58:40:73,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff04028420f4f4f4f4f4f4f4f4feb6,valid
09,3327,16:58:40:76,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000cfff4f4f4f4f4f4f4f4fee1,valid
05,165221,16:58:40:79,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff05028565f4f4f4f4f4f4f4f4fe02,valid
07,3251,16:58:40:81,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000cb3f4f4f4f4f4f4f4f4fe16,valid
0a,814,16:58:40:84,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a00032ef4f4f4f4f4f4f4f4fe18,valid
03,164564,16:58:40:88,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282d4f4f4f4f4f4f4f4f4fe5a,valid
08,3324,16:58:40:94,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000cfcf4f4f4f4f4f4f4f4fe2c,valid
01,164785,16:58:41:72,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283b1f4f4f4f4f4f4f4f4fe29,valid
09,3328,16:58:41:18,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000d00f4f4f4f4f4f4f4f4fedf,valid
05,165222,16:58:41:28,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff05028566f4f4f4f4f4f4f4f4fe01,valid
02,165047,16:58:41:31,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284b7f4f4f4f4f4f4f4f4fe7b,valid
06,3201,16:58:41:34,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041de598f849b01ff06000c81f4f4f4f4f4f4f4f4fe63,valid
0a,815,16:58:41:37,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a00032ff4f4f4f4f4f4f4f4fe17,valid
07,3252,16:58:41:40,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000cb4f4f4f4f4f4f4f4f4fe15,valid
04,164897,16:58:41:43,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff04028421f4f4f4f4f4f4f4f4feb5,valid
03,164565,16:58:41:47,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282d5f4f4f4f4f4f4f4f4fe59,valid
08,3325,16:58:41:51,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000cfdf4f4f4f4f4f4f4f4fe2b,valid
01,164786,16:58:41:59,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283b2f4f4f4f4f4f4f4f4fe28,valid
06,3202,16:58:41:75,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041de598f849b01ff06000c82f4f4f4f4f4f4f4f4fe62,valid
09,3329,16:58:41:79,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000d01f4f4f4f4f4f4f4f4fede,valid
04,164898,16:58:41:83,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff04028422f4f4f4f4f4f4f4f4feb4,valid
02,165048,16:58:41:86,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284b8f4f4f4f4f4f4f4f4fe7a,valid
05,165223,16:58:41:92,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff05028567f4f4f4f4f4f4f4f4fe00,valid
0a,816,16:58:41:95,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a000330f4f4f4f4f4f4f4f4fe16,valid
07,3253,16:58:41:97,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000cb5f4f4f4f4f4f4f4f4fe14,valid
03,164566,16:58:42:26,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282d6f4f4f4f4f4f4f4f4fe58,valid
08,3326,16:58:42:32,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000cfef4f4f4f4f4f4f4f4fe2a,valid
01,164787,16:58:42:14,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283b3f4f4f4f4f4f4f4f4fe27,valid
06,3203,16:58:42:25,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041de598f849b01ff06000c83f4f4f4f4f4f4f4f4fe61,valid
